Year,Sales,Raw_Material_Cost,Change_in_Inventory,Other_Mfr_Exp,Employee_Cost,Selling_and_Admin,Power_and_Fuel,Other_Expenses,Net_profit,Revenue_Growth_Pct,COGS,Gross_Margin_Pct,Total_OpEx,Operating_Profit,OPM_Pct,NPM_Pct,Debt_to_Equity,Cash_Flow
2018,574.36,436.16,59.93,0.6,54.93,2.7,3.72,7.4,-28.18,0.0,496.69000000000005,13.52,565.44,8.919999999999959,1.55,-4.91,0.68,-79.38
2019,1111.39,785.48,125.21,2.09,117.3,9.66,4.99,30.88,-24.52,93.5,912.7800000000001,17.87,1075.6100000000001,35.77999999999997,3.22,-2.21,1.35,-99.73
2020,1767.53,1196.09,181.88,4.62,195.63,11.73,10.32,59.51,-16.61,59.04,1382.5899999999997,21.78,1659.7799999999997,107.75000000000023,6.1,-0.94,1.28,6.15
2021,2440.9,1533.85,41.27,4.4,233.37,26.23,11.76,71.59,61.55,38.1,1579.52,35.29,1922.4699999999998,518.4300000000003,21.24,2.52,0.68,133.18
2022,3773.94,2492.14,362.13,6.64,327.57,25.84,26.97,96.41,41.08,54.61,2860.91,24.19,3337.7,436.24000000000024,11.56,1.09,0.44,-353.96
2023,5143.8,3007.42,141.74,14.99,493.26,12.98,30.21,173.26,19.26,36.3,3164.1499999999996,38.49,3873.8599999999997,1269.9400000000005,24.69,0.37,0.58,-140.24
2024,6385.63,3846.79,200.4,20.68,566.26,25.38,29.94,224.23,32.27,24.14,4067.87,36.3,4913.679999999999,1471.9500000000007,23.05,0.51,0.77,0.25
2025,7949.82,4691.18,218.52,25.83,667.59,20.85,27.26,266.4,66.08,24.5,4935.530000000001,37.92,5917.630000000001,2032.1899999999987,25.56,0.83,1.01,466.63
