Year,Equity_Share_Capital,Reserves,Borrowings,Other_Liabilities,Total_Liabilities,Net_Block,Capital_WIP,Investments,Other_Assets,Total_Assets,Receivables,Inventory,Cash_and_Bank,Total_Equity,Debt_to_Equity
2018,13.56,129.84,8.25,13.29,164.94,6.34,0.0,21.93,136.67,164.94,1.6,8.47,35.49,143.4,0.06
2019,14.24,279.08,30.23,30.06,353.61,13.51,0.0,169.29,170.81,353.61,7.11,22.75,4.41,293.32,0.1
2020,14.55,404.12,39.99,39.27,497.93,17.51,0.68,52.49,427.25,497.93,25.51,46.34,169.4,418.67,0.1
2021,15.06,545.76,46.06,39.76,646.64,12.9,0.0,69.58,564.16,646.64,63.72,33.22,192.3,560.8199999999999,0.08
2022,47.41,1502.54,51.41,89.08,1690.44,16.46,0.0,379.48,1294.5,1690.44,20.65,72.55,220.33,1549.95,0.03
2023,285.25,1170.32,55.36,324.71,1835.64,28.62,0.89,461.28,1344.85,1835.64,71.49,78.0,51.97,1455.57,0.04
2024,285.6,1249.31,87.27,245.45,1867.63,30.35,9.15,640.87,1187.26,1867.63,115.79,103.27,38.63,1534.9099999999999,0.06
2025,285.93,1373.68,86.27,143.95,1889.83,38.59,19.37,935.07,896.8,1889.83,47.71,86.12,28.62,1659.6100000000001,0.05
